id,name,source,score,label
csv_298,csv_resume_298,csv,0.1030242714535129,
file_2080,20674668,pdf,0.1030242714535129,
file_694,21297521,pdf,0.0957272964110356,
csv_2199,csv_resume_2199,csv,0.0957272964110356,
csv_1737,csv_resume_1737,csv,0.0799479921669082,
file_1557,54227873,pdf,0.0797085741628853,
csv_929,csv_resume_929,csv,0.0742734110260204,
csv_926,csv_resume_926,csv,0.0742337790646787,
file_291,62994611,pdf,0.0742337790646787,
file_239,11813872,pdf,0.0739670936306779,
csv_331,csv_resume_331,csv,0.0684842112237263,
file_2066,17987433,pdf,0.0682751382639339,
file_1176,20574232,pdf,0.0681456536757711,
csv_1218,csv_resume_1218,csv,0.0674993399759896,
csv_1339,csv_resume_1339,csv,0.054122146628946,
file_512,18448085,pdf,0.0540216423951445,
csv_1234,csv_resume_1234,csv,0.0473697622541232,
file_1362,10515955,pdf,0.0472651987441356,
csv_942,csv_resume_942,csv,0.0465276077838681,
file_296,81042872,pdf,0.0462634648856013,
csv_0,csv_resume_0,csv,,
csv_1,csv_resume_1,csv,,
csv_2,csv_resume_2,csv,,
csv_3,csv_resume_3,csv,,
csv_4,csv_resume_4,csv,,
csv_5,csv_resume_5,csv,,
csv_6,csv_resume_6,csv,,
csv_7,csv_resume_7,csv,,
csv_8,csv_resume_8,csv,,
csv_9,csv_resume_9,csv,,
csv_10,csv_resume_10,csv,,
csv_11,csv_resume_11,csv,,
csv_12,csv_resume_12,csv,,
csv_13,csv_resume_13,csv,,
csv_14,csv_resume_14,csv,,
csv_15,csv_resume_15,csv,,
csv_16,csv_resume_16,csv,,
csv_17,csv_resume_17,csv,,
csv_18,csv_resume_18,csv,,
csv_19,csv_resume_19,csv,,
csv_20,csv_resume_20,csv,,
csv_21,csv_resume_21,csv,,
csv_22,csv_resume_22,csv,,
csv_23,csv_resume_23,csv,,
csv_24,csv_resume_24,csv,,
csv_25,csv_resume_25,csv,,
csv_26,csv_resume_26,csv,,
csv_27,csv_resume_27,csv,,
csv_28,csv_resume_28,csv,,
csv_29,csv_resume_29,csv,,
csv_30,csv_resume_30,csv,,
csv_31,csv_resume_31,csv,,
csv_32,csv_resume_32,csv,,
csv_33,csv_resume_33,csv,,
csv_34,csv_resume_34,csv,,
csv_35,csv_resume_35,csv,,
csv_36,csv_resume_36,csv,,
csv_37,csv_resume_37,csv,,
csv_38,csv_resume_38,csv,,
csv_39,csv_resume_39,csv,,
csv_40,csv_resume_40,csv,,
csv_41,csv_resume_41,csv,,
csv_42,csv_resume_42,csv,,
csv_43,csv_resume_43,csv,,
csv_44,csv_resume_44,csv,,
csv_45,csv_resume_45,csv,,
csv_46,csv_resume_46,csv,,
csv_47,csv_resume_47,csv,,
csv_48,csv_resume_48,csv,,
csv_49,csv_resume_49,csv,,
csv_50,csv_resume_50,csv,,
csv_51,csv_resume_51,csv,,
csv_52,csv_resume_52,csv,,
csv_53,csv_resume_53,csv,,
csv_54,csv_resume_54,csv,,
csv_55,csv_resume_55,csv,,
csv_56,csv_resume_56,csv,,
csv_57,csv_resume_57,csv,,
csv_58,csv_resume_58,csv,,
csv_59,csv_resume_59,csv,,
csv_60,csv_resume_60,csv,,
csv_61,csv_resume_61,csv,,
csv_62,csv_resume_62,csv,,
csv_63,csv_resume_63,csv,,
csv_64,csv_resume_64,csv,,
csv_65,csv_resume_65,csv,,
csv_66,csv_resume_66,csv,,
csv_67,csv_resume_67,csv,,
csv_68,csv_resume_68,csv,,
csv_69,csv_resume_69,csv,,
csv_70,csv_resume_70,csv,,
csv_71,csv_resume_71,csv,,
csv_72,csv_resume_72,csv,,
csv_73,csv_resume_73,csv,,
csv_74,csv_resume_74,csv,,
csv_75,csv_resume_75,csv,,
csv_76,csv_resume_76,csv,,
csv_77,csv_resume_77,csv,,
csv_78,csv_resume_78,csv,,
csv_79,csv_resume_79,csv,,
csv_80,csv_resume_80,csv,,
csv_81,csv_resume_81,csv,,
csv_82,csv_resume_82,csv,,
csv_83,csv_resume_83,csv,,
csv_84,csv_resume_84,csv,,
csv_85,csv_resume_85,csv,,
csv_86,csv_resume_86,csv,,
csv_87,csv_resume_87,csv,,
csv_88,csv_resume_88,csv,,
csv_89,csv_resume_89,csv,,
csv_90,csv_resume_90,csv,,
csv_91,csv_resume_91,csv,,
csv_92,csv_resume_92,csv,,
csv_93,csv_resume_93,csv,,
csv_94,csv_resume_94,csv,,
csv_95,csv_resume_95,csv,,
csv_96,csv_resume_96,csv,,
csv_97,csv_resume_97,csv,,
csv_98,csv_resume_98,csv,,
csv_99,csv_resume_99,csv,,
csv_100,csv_resume_100,csv,,
csv_101,csv_resume_101,csv,,
csv_102,csv_resume_102,csv,,
csv_103,csv_resume_103,csv,,
csv_104,csv_resume_104,csv,,
csv_105,csv_resume_105,csv,,
csv_106,csv_resume_106,csv,,
csv_107,csv_resume_107,csv,,
csv_108,csv_resume_108,csv,,
csv_109,csv_resume_109,csv,,
csv_110,csv_resume_110,csv,,
csv_111,csv_resume_111,csv,,
csv_112,csv_resume_112,csv,,
csv_113,csv_resume_113,csv,,
csv_114,csv_resume_114,csv,,
csv_115,csv_resume_115,csv,,
csv_116,csv_resume_116,csv,,
csv_117,csv_resume_117,csv,,
csv_118,csv_resume_118,csv,,
csv_119,csv_resume_119,csv,,
csv_120,csv_resume_120,csv,,
csv_121,csv_resume_121,csv,,
csv_122,csv_resume_122,csv,,
csv_123,csv_resume_123,csv,,
csv_124,csv_resume_124,csv,,
csv_125,csv_resume_125,csv,,
csv_126,csv_resume_126,csv,,
csv_127,csv_resume_127,csv,,
